f_kabupaten_id;f_kodekabupaten;f_namakabupaten;f_propinsi_id;f_komputer;f_username
661;18;Guguk Tinggi;8;Akademik;282240
662;7;Mempawah;13;Akademik;282240
663;20;Menado;19;Akademik;282240
664;22;Dumai;8;mipa;282240
665;23;Panti;8;mipa;282240
666;1;Desa Suko Mullio;35;mipa;282240
667;2;Madinah;35;mipa;282240
668;4;Laguboti;18;Akademik;282240
669;5;Amlapura;18;Akademik;282240
670;9;Kelapa Kampit;9;Akademik;282240
671;10;Pemangkat;2;Akademik;282240
672;60;Sihiong;7;Akademik;282240
673;61;Aek Negaga;7;Akademik;282240
674;11;Liwa;2;Akademik;282240
675;9;Pringsewu;3;Akademik;282240
676;8;Malifut;13;Akademik;282240
677;62;Lawe Beringin;7;Akademik;282240
678;63;Pancur Batu;7;Akademik;282240
679;59;Watu;19;Akademik;282240
680;60;Palusu;19;Akademik;282240
681;2;Mempawah;14;Akademik;282240
682;12;Sedong;2;Akademik;282240
683;33;Agromulyo;12;istn-54f2cb5db4;288632
684;64;Salak;7;Akademik;282240
685;2;Tanjung Pandan;10;Akademik;282240
686;1;Muba;33;Akademik;282240
687;54;Karangampel;2;Akademik;282240
688;1;Molonggota;23;Akademik;282240
689;6;Biaro Baru;11;Akademik;282240
690;29;Stabat;7;Akademik;282240
691;65;Merek Raya;7;Akademik;282240
692;66;Parsoburan;7;Akademik;282240
693;6;Sei Guntung;18;Akademik;282240
694;7;Tamboli;11;Akademik;282240
695;67;Gunung Kelambu;7;istn;288646
696;6;Bajawa;33;Akademik;282240
697;1;Nusa Penida;22;Akademik;282240
698;8;MPL Pasir Talang;11;Akademik;282240
699;7;Sanggau;33;Akademik;282240
700;2;Kananga;23;Akademik;282240
701;21;Pasang Lambe;19;Akademik;282240
702;37;Tomini;17;Akademik;282240
703;61;Pasang Lambe/Buakayu;19;Akademik;282240
704;11;Teluk Betung;9;Akademik;282240
705;10;Ajibarang;3;Akademik;282240
706;68;Kutabuluh;7;Akademik;282240
707;9;Pulau Raja;13;Akademik;282240
708;9;Belimbingan;11;Akademik;282240
709;70;Balimbingan;7;Akademik;282240
