f_kabupaten_id;f_kodekabupaten;f_namakabupaten;f_propinsi_id;f_komputer;f_username;f_tanggalupdate
294;39;Gunung Raya;14;;;49:07.3
296;1;Banjarmasin;15;;;49:07.3
297;21;Pakanbaru;15;;;49:07.3
298;31;Tanah Laut;15;;;49:07.3
299;32;Kota Baru;15;;;49:07.3
300;33;Banjar;15;;;49:07.3
301;34;Baritokuala;15;;;49:07.3
302;35;Tapian;15;;;49:07.3
303;36;Hulu Sei Selatan;15;;;49:07.3
304;37;Hulu Sei Tengah;15;;;49:07.3
305;38;Hulu Sei Utara;15;;;49:07.3
306;39;Tabalong;15;;;49:07.3
307;1;Samarinda;16;;;49:07.3
308;2;Balikpapan;16;;;49:07.3
314;1;Manado;17;;;49:07.3
315;2;Gorontalo;17;;;49:07.3
316;21;Bitung;17;;;49:07.3
317;31;Bolaang Mangondow;17;;;49:07.3
318;32;Minahasa;17;;;49:07.3
319;33;Sangihe Talaud;17;;;49:07.3
320;34;Gorontalo;17;;;49:07.3
321;21;Palu;18;;;49:07.3
322;33;Bual Toli Toli;18;;;49:07.3
323;34;Donggala;18;;;49:07.3
324;35;Luwuk/Banggai;18;;;49:07.3
325;36;Poso;18;;;49:07.3
326;1;Ujung Pandang;19;;;49:07.3
328;31;Selayar;19;;;49:07.3
329;32;Bulukumba;19;;;49:07.3
330;33;Bantaeng;19;;;49:07.3
331;34;Jeneponto;19;;;49:07.3
332;35;Takalar;19;;;49:07.3
333;36;Gowa;19;;;49:07.3
334;37;Sinjai;19;;;49:07.3
335;38;Bone;19;;;49:07.3
336;39;Maros;19;;;49:07.3
337;40;Pangkajene;19;;;49:07.3
338;41;Barru;19;;;49:07.3
339;42;Soppeng;19;;;49:07.3
340;43;Wajo;19;;;49:07.3
341;44;Sidanreng Rappang;19;;;49:07.3
342;45;Pinrang;19;;;49:07.3
343;46;Enrekang;19;;;49:07.3
344;47;Luwu;19;;;49:07.3
345;48;Tana Toraja;19;;;49:07.3
